Путь 17.07.24_1_out.csv_профиль_левый 17.07.24_1_out.csv_профиль_правый 17.07.24_2_in.csv_профиль_левый 17.07.24_2_in.csv_профиль_правый 17.07.24_3_out.csv_профиль_левый 17.07.24_3_out.csv_профиль_правый 17.07.24_4_in.csv_профиль_левый 17.07.24_4_in.csv_профиль_правый 17.07.24_5_out.csv_профиль_левый 17.07.24_5_out.csv_профиль_правый 17.07.24_6_in.csv_профиль_левый 17.07.24_6_in.csv_профиль_правый 17.07.24_7_out.csv_профиль_левый 17.07.24_7_out.csv_профиль_правый СКО_левый СКО_правый
74,000 0,1099106 0,11436747 0,117138 0,10909877 0,10995748 0,11318256 0,11452154 0,1112872 0,11099711 0,11384592 0,11043083 0,11393754 0,10946535 0,11564395 0,00269473 0,00202212
75,000 0,11554984 0,11470755 0,11968879 0,11254681 0,11164627 0,11741312 0,1174088 0,11437709 0,11275958 0,11794547 0,11256684 0,11772658 0,11074305 0,12022483 0,0030549 0,00243794
76,000 0,1182681 0,11815912 0,12569595 0,11273823 0,11688199 0,11838323 0,12221783 0,11576298 0,11505369 0,12174289 0,11655859 0,11984651 0,11462304 0,12249839 0,00375969 0,00314225
77,000 0,12403725 0,11875324 0,13059559 0,11412473 0,12119475 0,1203536 0,12658976 0,11770913 0,12096389 0,12215417 0,1220649 0,12056924 0,11837735 0,12502853 0,00378275 0,00319492
78,000 0,13024723 0,11891307 0,1314215 0,11961094 0,12835008 0,11958328 0,13232952 0,11831455 0,12568218 0,12382461 0,12826362 0,12062032 0,12598987 0,12376836 0,00237442 0,00208707
79,000 0,13576474 0,11961976 0,14306348 0,11421942 0,13379768 0,12032155 0,13941088 0,11747497 0,13237555 0,12343887 0,13438336 0,12067167 0,131072 0,12495271 0,00388804 0,00331178
80,000 0,14023119 0,12104157 0,14579057 0,11736567 0,14081263 0,11913443 0,14468335 0,11812897 0,13962684 0,12217312 0,13951501 0,12146045 0,13766462 0,12435565 0,00272836 0,0022737
81,000 0,14419851 0,12250484 0,14806211 0,12052301 0,14284898 0,12256762 0,14885244 0,11944409 0,1409918 0,12649194 0,14293691 0,1236087 0,14053278 0,12708787 0,00301393 0,00262601
82,000 0,14730043 0,12434498 0,15048193 0,12302615 0,14641865 0,12396821 0,15035886 0,12297827 0,14524437 0,12750471 0,1440272 0,12764953 0,14370743 0,12905872 0,00257154 0,00231341
83,000 0,14879258 0,12730447 0,15194214 0,12606495 0,1481572 0,12664465 0,15423254 0,1235956 0,14664484 0,13081999 0,1447811 0,13150442 0,14508443 0,13230715 0,00324805 0,00301262
84,000 0,14641412 0,13363544 0,15129061 0,13063895 0,14793537 0,13084134 0,15105509 0,13078331 0,14623761 0,13541253 0,14728171 0,13304769 0,14611851 0,13536717 0,00206422 0,00195471
85,000 0,14595927 0,13814397 0,15095074 0,13484929 0,1444967 0,13823124 0,14849534 0,13718932 0,145312 0,14032355 0,14543932 0,13875429 0,14698843 0,13839681 0,00207762 0,00154836
