Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-53,17668151855 234214 -3,24774 <_____> 1519,48 <Интегр-Навиг> 62,1792 -0,144553 -0,580965 -3,98151 2,15113 0 55,76340697961 37,72284806232 173,13859558105 0,721455 10,0501 -0,286482
-53,62775802612 234582 -1,62386 Vokzal 1518,87 <Интегр-Навиг> 62,1332 -0,178161 -0,628341 -3,78073 2,02628 0 55,76340397551 37,72284974071 173,10699462891 1,06549 9,50726 1,34735
-54,07883453369 234981 -1,62388 <_____> 1518,87 <Интегр-Навиг> 62,0418 -0,208931 -0,675593 -3,36582 1,78296 0 55,76340038356 37,72285312996 173,10392761230 0,595467 11,3331 0,270641
-54,52990722656 235454 -1,62388 <_____> 1519,28 <Интегр-Навиг> 62,039 -0,242482 -0,722183 -2,71412 1,44661 0 55,76339725407 37,72285539408 173,07559204102 0,457008 9,5647 -0,0202861
-54,98097991943 236163 0 Piket 1520,09 <Интегр-Навиг> 62,0648 -0,323264 -0,781267 -1,38741 0,74048 0 55,76339365423 37,72285881872 173,06921386719 -0,193048 9,91155 -0,867257
-55,43205642700 317561 0 <_____> 1558,27 <Интегр-Навиг> 60,5987 -1,47963 2,7144 1,52706 1,63125 0 55,76337716231 37,72279191614 176,78248596191 0,0719086 9,84189 0,0199873
-55,88313293457 352959 0 Vokzal 1520,89 <Интегр-Навиг> 61,9616 -0,268442 -0,856561 -1,1829 0,729503 0 55,76340252114 37,72286276399 169,40736389160 0,198496 10,6093 0,447172
-56,33420562744 353949 0 <_____> 1521,3 <Интегр-Навиг> 61,9499 -0,338135 -0,942707 -1,57171 0,945348 0 55,76340067672 37,72286646789 168,62623596191 0,0339823 10,1971 -0,144759
-56,78527832031 354701 0 <_____> 1521,5 <Интегр-Навиг> 61,9749 -0,35332 -1,0589 -2,03582 1,20099 0 55,76340138209 37,72287069332 168,04750061035 -0,224666 9,98996 0,442434
-57,23635482788 355320 -1,62386 <_____> 1521,9 <Интегр-Навиг> 61,9746 -0,396815 -1,16614 -2,30265 1,36107 0 55,76339797925 37,72287424440 167,88912963867 0,774811 9,97952 -0,395859
-57,68743133545 355892 0 <_____> 1522,11 <Интегр-Навиг> 61,9482 -0,414913 -1,28041 -2,50231 1,46215 0 55,76339511916 37,72287713800 167,49983215332 -0,710439 9,11348 0,62065
