Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
663,07965087891 97631 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1254 -0,710948 -0,738348 -3,31709 1,91707 0 55,76355928547 37,72276465012 161,08605957031 -0,736533 8,60229 1,03758
662,62860107422 98060 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1438 -0,736826 -0,776593 -3,19819 1,85029 0 55,76355580629 37,72276822263 161,08714294434 -0,33507 10,2718 -1,06959
662,17749023438 98512 0 Piket 1517,05 <Интегр-Навиг> 62,1508 -0,707315 -0,806094 -3,09613 1,81024 0 55,76355206703 37,72277154811 161,13014221191 0,681986 10,5936 0,333907
661,72644042969 98968 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1293 -0,66374 -0,820137 -3,07368 1,76947 0 55,76354857979 37,72277514162 161,13290405273 -1,15026 9,05971 0,6424
661,27539062500 99433 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1471 -0,767168 -0,825714 -2,96429 1,73262 0 55,76354506832 37,72277875747 161,13560485840 -0,132581 9,95634 -0,572111
660,82427978516 99897 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1707 -0,77164 -0,841498 -3,06565 1,77458 0 55,76354120964 37,72278212428 161,17613220215 0,338544 9,83389 1,05279
660,37322998047 100363 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1851 -0,740309 -0,871652 -3,01498 1,74063 0 55,76353769653 37,72278574619 161,18002319336 -0,926469 9,14458 1,1907
659,92211914063 100831 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1745 -0,71464 -0,878408 -3,02431 1,74649 0 55,76353425277 37,72278790845 161,21568298340 -1,00735 8,75798 1,33614
659,47106933594 101296 0 <_____> 1517,05 <Интегр-Навиг> 62,1512 -0,587589 -0,874256 -3,08222 1,7882 0 55,76353076456 37,72279148747 161,21977233887 0,840773 10,5695 -0,574743
659,02001953125 101753 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1362 -0,490343 -0,881424 -3,1532 1,81507 0 55,76352665177 37,72279569175 161,26098632813 0,866066 10,2932 0,695601
658,56890869141 102180 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1546 -0,374377 -0,860152 -3,43708 1,95486 0 55,76352312828 37,72279926741 161,26416015625 -0,84405 9,20332 -0,0777191
658,11785888672 102584 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1925 -0,107413 -0,827407 -3,5967 2,04238 0 55,76351947823 37,72280239447 161,28819274902 0,411119 10,1429 0,333101
657,66674804688 102965 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,2279 0,000919243 -0,802286 -3,82493 2,14941 0 55,76351590686 37,72280599825 161,29039001465 -0,837104 9,28327 0,976535
657,21569824219 103324 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,2119 0,00154059 -0,767036 -4,01265 2,28288 0 55,76351244130 37,72280947067 161,29115295410 0,7942 9,82394 1,13249
656,76464843750 103676 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,2939 0,0420223 -0,728637 -4,05935 2,28028 0 55,76350831536 37,72281309053 161,30810546875 -0,728289 9,44679 -0,0100224
656,31353759766 104031 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,3048 0,105939 -0,695042 -3,95585 2,22683 0 55,76350471762 37,72281668743 161,30867004395 -0,238113 9,3702 0,554355
655,86248779297 104387 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,3079 0,0830614 -0,666793 -4,04178 2,27714 0 55,76350119494 37,72282020874 161,30899047852 -0,286666 10,101 -0,339248
655,41137695313 104735 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,2932 0,0310073 -0,634281 -4,11341 2,30541 0 55,76349709382 37,72282344596 161,32290649414 -0,412242 9,80847 0,454322
654,96032714844 105081 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,3093 -0,0593513 -0,632088 -4,04372 2,28579 0 55,76349354264 37,72282699099 161,32365417480 -1,31422 9,70101 -0,308833
654,50921630859 105440 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,3161 -0,115458 -0,628065 -3,92096 2,23112 0 55,76348998093 37,72283054882 161,32479858398 -0,23087 9,60076 -0,375845
654,05816650391 105810 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1726 -0,135359 -0,644808 -3,7459 2,10859 0 55,76348619688 37,72283374230 161,32659912109 1,10186 10,393 0,239527
653,60711669922 106189 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1263 -0,213314 -0,686388 -3,70642 2,09214 0 55,76348266074 37,72283728462 161,32803344727 -0,828622 9,36919 0,861516
