Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-0,90214920044 2165 0 Strelka 1513,82 <Интегр-Навиг> 45,81 -0,682271 -0,359416 0,155878 -0,128967 0 55,75860173894 37,72839401097 172,03855895996 -0,0285772 9,86595 -0,0407451
35,63489532471 46589 1,62388 <_____> 1490,99 <Интегр-Навиг> 45,9836 -0,360317 0,243478 3,79705 -3,5736 0 55,75883170723 37,72800602246 167,25549316406 0,166006 9,7636 0,579584
36,08596801758 46904 1,62388 <_____> 1490,99 <Интегр-Навиг> 45,8873 -0,397809 0,285598 3,83193 -3,60808 0 55,75883468767 37,72800104618 167,22215270996 -0,190699 10,0022 -0,39774
36,53704071045 47221 1,62388 <_____> 1490,99 <Интегр-Навиг> 45,802 -0,426845 0,325266 3,69252 -3,47405 0 55,75883769407 37,72799602028 167,18775939941 0,982153 10,618 -0,882221
36,98811721802 47542 3,24772 <_____> 1490,99 <Интегр-Навиг> 45,9286 -0,372485 0,336849 3,74667 -3,51244 0 55,75884004729 37,72799241344 167,14492797852 0,138538 9,6247 0,867629
37,43919372559 47858 1,62388 <_____> 1490,99 <Интегр-Навиг> 45,8821 -0,18002 0,364202 3,74245 -3,53004 0 55,75884298431 37,72798750661 167,11166381836 0,22763 9,43939 -0,0149554
37,89026641846 48179 1,62388 <_____> 1491,19 <Интегр-Навиг> 45,8856 -0,193192 0,348548 3,72062 -3,50297 0 55,75884596064 37,72798253801 167,07780456543 -0,0792542 9,69043 0,534245
38,34133911133 48501 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,8558 -0,153494 0,346317 3,6811 -3,46054 0 55,75884906472 37,72797771669 167,02603149414 0,49656 9,94281 0,314213
38,79241561890 48825 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,8821 -0,172604 0,323066 3,72939 -3,50604 0 55,75885202198 37,72797279095 166,99230957031 -0,440403 10,1222 -0,328101
39,24349212646 49147 3,24774 <_____> 1491,19 <Интегр-Навиг> 45,8551 -0,198858 0,315499 3,71358 -3,47679 0 55,75885498936 37,72796783910 166,95878601074 0,530647 9,57927 0,334378
39,69456481934 49471 1,62388 Piket 1491,19 <Интегр-Навиг> 45,8672 -0,142044 0,287015 3,64326 -3,40834 0 55,75885798351 37,72796285450 166,90780639648 -0,327098 10,5009 0,284686
40,14563751221 49797 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,9847 -0,0979932 0,316325 3,72496 -3,48134 0 55,75886041475 37,72795809409 166,87365722656 -0,12784 9,55517 -0,621988
40,59671401978 50116 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,9795 -0,175445 0,314863 3,73223 -3,48676 0 55,75886339850 37,72795312850 166,84010314941 -1,1108 8,47739 0,487072
41,04779052734 50435 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,9579 -0,0807346 0,291386 3,70962 -3,52321 0 55,75886638777 37,72794816267 166,80635070801 1,0342 10,7078 0,127008
41,49886322021 50757 3,24775 <_____> 1491,19 <Интегр-Навиг> 45,9871 -0,218973 0,295877 3,7451 -3,49457 0 55,75886862211 37,72794314017 166,76933288574 -0,00982056 9,66269 -0,0817725
41,94993591309 51072 1,62386 <_____> 1491,4 <Интегр-Навиг> 46,0303 -0,190633 0,285595 3,83086 -3,57091 0 55,75887158056 37,72793822808 166,73617553711 0,315189 9,72591 -0,276849
42,40101242065 51387 1,62386 <_____> 1492,61 <Интегр-Навиг> 45,9566 -0,174374 0,282187 3,775 -3,56018 0 55,75887461532 37,72793317049 166,70236206055 0,441476 10,0487 -0,681757
42,85208892822 51706 1,62388 <_____> 1493,21 <Интегр-Навиг> 45,936 -0,131967 0,277989 3,67009 -3,44269 0 55,75887755739 37,72792724133 166,67979431152 -0,135193 9,92374 -0,401141
43,30316162109 52034 1,62388 <_____> 1493,62 <Интегр-Навиг> 46,0684 -0,157179 0,266388 3,68631 -3,44246 0 55,75888059077 37,72792221474 166,64494323730 0,0942531 9,69914 0,471041
43,75423431396 52357 3,24774 <_____> 1494,63 <Интегр-Навиг> 46,0625 -0,0550836 0,226671 3,69706 -3,46917 0 55,75888354007 37,72791730838 166,61157226563 0,253696 10,071 0,0568493
44,20531082153 52683 1,62386 <_____> 1494,83 <Интегр-Навиг> 46,0285 -0,0564713 0,224528 3,65506 -3,41936 0 55,75888604442 37,72791203126 166,60081481934 0,0670964 9,66313 0,606072
44,65638732910 53016 1,62388 <_____> 1495,84 <Интегр-Навиг> 46,023 -0,00825567 0,16733 3,56387 -3,30934 0 55,75888902992 37,72790707072 166,56678771973 -0,571269 9,87414 -0,360467
45,10746002197 53346 1,62388 <_____> 1496,65 <Интегр-Навиг> 46,1019 0,000223378 0,0955213 3,61777 -3,40068 0 55,75889197741 37,72790220084 166,53363037109 -1,18991 8,96796 -0,240386
45,55853271484 53673 1,62386 <_____> 1496,65 <Интегр-Навиг> 46,0621 0,00562937 0,132722 3,64458 -3,41555 0 55,75889532615 37,72789778398 166,52340698242 0,337814 10,0776 -0,491906
46,00960922241 54007 1,62386 <_____> 1496,85 <Интегр-Навиг> 46,0301 -0,0671637 0,0850741 3,60673 -3,27615 0 55,75889825821 37,72789294230 166,49029541016 -1,83377 16,8796 -0,896669
46,46068572998 54344 3,24774 <_____> 1496,85 <Интегр-Навиг> 46,0017 -0,0145943 0,102446 3,52468 -3,27425 0 55,75890125617 37,72788797513 166,45690917969 0,51168 10,225 -0,446039
46,91175842285 54690 1,62388 <_____> 1496,85 <Интегр-Навиг> 45,9817 0,0334151 0,12642 3,43029 -3,17779 0 55,75890348922 37,72788394080 166,45390319824 0,794575 10,2109 -0,302825
47,36283111572 55031 1,62386 <_____> 1496,85 <Интегр-Навиг> 46,0972 -0,0688075 0,0984693 3,59369 -3,33229 0 55,75890644934 37,72787906407 166,42048645020 -0,114662 9,69351 0,515647
47,81390762329 55365 1,62386 <_____> 1496,85 <Интегр-Навиг> 46,1406 0,0344301 0,0478011 3,55746 -3,35418 0 55,75890943688 37,72787411750 166,38795471191 -1,50163 7,28631 -0,174848
48,26498413086 55700 1,62388 <_____> 1496,85 <Интегр-Навиг> 46,0977 -0,0228 0,061629 3,58022 -3,32109 0 55,75891219420 37,72786863670 166,37335205078 -0,297028 9,67151 0,229075
48,71605682373 56035 1,62388 <_____> 1496,45 <Интегр-Навиг> 46,076 -0,0616014 0,0233905 3,59782 -3,28025 0 55,75891517040 37,72786372285 166,34020996094 -1,21945 16,2518 0,168534
49,16712951660 56376 3,24774 <_____> 1495,64 <Интегр-Навиг> 46,0715 -0,0492509 0,035038 3,5128 -3,26095 0 55,75891815766 37,72785878539 166,30706787109 0,0269567 9,88144 0,256416
49,61820602417 56712 1,62386 Piket 1494,83 <Интегр-Навиг> 46,1245 -0,117294 0,0141889 3,58448 -3,33631 0 55,75892063663 37,72785403152 166,30992126465 -0,294904 9,90316 -0,690475
50,06928253174 57053 1,62388 <_____> 1494,63 <Интегр-Навиг> 45,9682 -0,0384356 -0,0614931 3,43646 -3,1917 0 55,75892360992 37,72784909621 166,27647399902 0,707615 10,5889 -0,0441563
50,52035522461 57397 1,62388 <_____> 1493,82 <Интегр-Навиг> 46,0321 -0,0922747 -0,0575069 3,5138 -3,26054 0 55,75892661558 37,72784414489 166,24238586426 0,221513 9,75101 0,744902
50,97142791748 57738 1,62386 <_____> 1493,01 <Интегр-Навиг> 45,9825 -0,137477 -0,0272769 3,55273 -3,2001 0 55,75892894085 37,72783912196 166,26452636719 0,989595 15,9812 -1,31819
51,42250442505 58087 1,62386 <_____> 1492,2 <Интегр-Навиг> 45,9779 -0,25102 -0,121408 3,48315 -3,25111 0 55,75893198253 37,72783408618 166,23069763184 0,03578 9,32411 0,63458
51,87358093262 58423 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,9363 -0,272907 -0,159025 3,5296 -3,31234 0 55,75893491273 37,72782922008 166,19781494141 0,435739 10,2068 0,0773964
52,32465362549 58764 3,24775 <_____> 1491,19 <Интегр-Навиг> 45,9077 -0,243842 -0,16289 3,50891 -3,30424 0 55,75893693068 37,72782501972 166,22869873047 0,164515 9,4452 0,894867
52,77572631836 59099 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,9348 -0,251946 -0,158902 3,5819 -3,33251 0 55,75893988291 37,72782012543 166,19683837891 0,257315 10,2276 -0,480766
53,22680282593 59432 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,9042 -0,211539 -0,133279 3,53897 -3,31699 0 55,75894285438 37,72781518980 166,16519165039 0,0469577 9,6613 0,543409
