Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
47,36283111572 356027 1,62386 <_____> 1508,97 <Интегр-Навиг> 46,044 0,11494 -0,0967723 4,84746 -4,09922 0 55,75908909066 37,72780404695 172,32801818848 -8,66282 1,51256 -0,226832
47,81390762329 356317 1,62386 <_____> 1509,18 <Интегр-Навиг> 46,0025 0,192796 0,0880654 4,89868 -4,22984 0 55,75909265112 37,72779857966 172,32801818848 0,375208 10,4551 0,270591
48,26498413086 356605 3,24774 <_____> 1509,18 <Интегр-Навиг> 46,0108 -0,0578807 0,111004 4,97801 -4,31884 0 55,75909617480 37,72779318080 172,32801818848 -0,340259 9,63129 -1,23049
48,71605682373 356888 1,62388 <_____> 1509,18 <Интегр-Навиг> 46,0044 0,00707273 0,0882771 4,94858 -4,26917 0 55,75909964148 37,72778786242 172,32801818848 -0,327663 10,4405 -0,304066
49,16712951660 357179 1,62386 <_____> 1508,97 <Интегр-Навиг> 45,9958 -0,0104394 0,0695796 4,89141 -4,23667 0 55,75910323316 37,72778235684 172,32801818848 -0,0128385 9,47509 0,246952
49,61820602417 357467 1,62386 <_____> 1508,57 <Интегр-Навиг> 46,0161 -0,030203 0,0606843 4,9155 -4,21142 0 55,75910673338 37,72777700874 172,32801818848 0,0551501 9,10329 0,681744
50,06928253174 357757 3,24774 Piket 1508,57 <Интегр-Навиг> 46,0113 -0,0611603 0,0246099 4,94178 -4,25453 0 55,75911024846 37,72777164103 172,32801818848 0,202733 10,1205 -0,301067
50,52035522461 358048 1,62388 <_____> 1508,77 <Интегр-Навиг> 45,9541 -0,0607448 0,0365267 4,77251 -4,21439 0 55,75911381715 37,72776618361 172,32801818848 -1,41758 2,96968 -1,44646
50,97142791748 358347 1,62386 <_____> 1508,57 <Интегр-Навиг> 45,91 0,101595 -0,0385795 4,77819 -4,10749 0 55,75911739932 37,72776072999 172,32801818848 -0,0922135 9,50856 -0,960667
51,42250442505 358650 1,62386 <_____> 1508,37 <Интегр-Навиг> 45,89 -0,0210768 -0,0634958 4,75806 -4,0953 0 55,75912094156 37,72775532796 172,32801818848 0,160151 9,24223 0,855952
51,87358093262 358949 3,24774 <_____> 1508,37 <Интегр-Навиг> 45,9158 -0,141444 -0,0955629 4,831 -4,15523 0 55,75912451503 37,72774986202 172,32801818848 0,318775 8,35749 0,711784
52,32465362549 359240 1,62388 <_____> 1508,37 <Интегр-Навиг> 45,9064 -0,113637 -0,161619 4,94897 -4,26792 0 55,75912808689 37,72774440582 172,32801818848 -0,0559923 9,84899 -1,54791
52,77572631836 359523 1,62388 <_____> 1508,37 <Интегр-Навиг> 45,9717 -0,320002 -0,106935 5,04856 -4,36725 0 55,75913158193 37,72773905703 172,32801818848 0,96364 10,4739 0,542627
53,22680282593 359797 3,24772 <_____> 1508,37 <Интегр-Навиг> 45,9957 -0,206838 -0,16232 5,15249 -4,46593 0 55,75913507782 37,72773370675 172,32801818848 -0,727628 9,4781 -0,868595
53,67787933350 360067 1,62388 <_____> 1508,37 <Интегр-Навиг> 46,0258 -0,219994 -0,129906 5,25201 -4,54394 0 55,75913863423 37,72772825489 172,32801818848 -0,135229 9,74537 -0,902737
54,12895202637 360333 1,62388 <_____> 1508,17 <Интегр-Навиг> 46,0121 -0,220866 -0,0962069 5,24096 -4,53244 0 55,75914212927 37,72772289297 172,32801818848 -0,00723731 10,0319 0,26998
54,58002471924 360598 3,24774 <_____> 1507,96 <Интегр-Навиг> 46,0014 -0,0770217 -0,0767682 5,3527 -4,63688 0 55,75914565058 37,72771747630 172,32801818848 0,0426332 9,92867 0,654136
55,03110122681 360859 1,62386 <_____> 1507,56 <Интегр-Навиг> 45,994 -0,0863522 -0,0375301 5,34494 -4,63092 0 55,75914912421 37,72771212551 172,32801818848 0,336572 9,66729 -0,575717
55,48217773438 361119 1,62386 <_____> 1507,56 <Интегр-Навиг> 46,0105 0,157323 -0,0444477 5,37494 -4,65071 0 55,75915261356 37,72770676972 172,32801818848 -0,452539 9,52806 -0,19844
55,93325042725 361381 3,24775 <_____> 1507,56 <Интегр-Навиг> 46,0555 -0,0625607 -0,00822692 5,35136 -4,61034 0 55,75915609234 37,72770143586 172,32801818848 0,551819 10,2271 0,422622
56,38432312012 361642 1,62386 <_____> 1507,56 <Интегр-Навиг> 46,0365 -0,0169174 -0,017642 5,36519 -4,64896 0 55,75915956761 37,72769610638 172,32801818848 -0,411835 9,17667 -0,442955
56,83539962769 361902 1,62386 <_____> 1507,36 <Интегр-Навиг> 46,0056 0,00960692 -0,0157421 5,38554 -4,64598 0 55,75916305455 37,72769075161 172,32801818848 -0,0612421 10,1157 0,294475
57,28647613525 362164 3,24774 <_____> 1506,75 <Интегр-Навиг> 46,0219 -0,0857915 0,011554 5,3779 -4,65933 0 55,75916662444 37,72768527509 172,32801818848 0,186663 9,51581 -0,628314
57,73754882813 362421 1,62388 <_____> 1506,14 <Интегр-Навиг> 46,0563 -0,101083 0,00633211 5,43236 -4,70222 0 55,75917004264 37,72768003293 172,32801818848 -0,487549 9,57194 -0,577878
58,18862152100 362681 1,62388 <_____> 1505,34 <Интегр-Навиг> 46,0593 -0,0350294 0,019939 5,41376 -4,68279 0 55,75917355730 37,72767464694 172,32801818848 -0,197873 9,67437 -0,433205
58,63969802856 362938 3,24772 <_____> 1505,34 <Интегр-Навиг> 46,0744 -0,0130022 0,0688253 5,42881 -4,70404 0 55,75917707464 37,72766924944 172,32801818848 -0,0391719 8,95115 -0,453947
