Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-658,51879882813 109289 1,624 <_____> 1516,04 <Интегр-Навиг> 46,0087 0,346886 0,193564 3,19616 -3,53915 0 55,75884629978 37,72790273697 164,75910949707 0,458655 9,97985 1,12463
-658,06774902344 109645 1,624 <_____> 1516,04 <Интегр-Навиг> 46,0019 0,363322 0,157264 3,15167 -3,44344 0 55,75884905725 37,72789730647 164,85670471191 0,591013 13,2636 -1,94868
-657,61663818359 109998 3,24756 <_____> 1515,44 <Интегр-Навиг> 45,948 0,341339 0,159376 3,14483 -3,47486 0 55,75885189958 37,72789267766 164,87509155273 0,205972 9,76041 0,777168
-657,16558837891 110357 1,624 <_____> 1514,83 <Интегр-Навиг> 45,9627 0,286726 0,177543 3,05369 -3,43753 0 55,75885468579 37,72788718986 164,89305114746 1,65177 8,39268 1,15722
-656,71447753906 110715 1,62378 <_____> 1514,83 <Интегр-Навиг> 45,9659 0,293278 0,120055 3,10617 -3,44699 0 55,75885798982 37,72788299615 165,00569152832 0,265753 8,82183 0,695101
-656,26342773438 111084 1,624 Piket 1514,83 <Интегр-Навиг> 45,9335 0,205314 0,090955 2,94696 -3,30568 0 55,75886075155 37,72787755388 165,02523803711 -0,366799 9,89273 -0,438549
-655,81237792969 111452 1,62378 <_____> 1515,03 <Интегр-Навиг> 45,9386 0,202633 0,0463741 3,1237 -3,45899 0 55,75886354828 37,72787202247 165,04504394531 0,182344 10,7286 -1,80079
-655,36126708984 111805 1,62378 <_____> 1515,03 <Интегр-Навиг> 45,9021 0,255623 0,0192268 3,17718 -3,52689 0 55,75886699170 37,72786757204 165,18870544434 -0,245699 10,0311 -1,29519
-654,91021728516 112157 1,624 <_____> 1515,03 <Интегр-Навиг> 45,8765 0,264985 0,0627265 3,11614 -3,54345 0 55,75886977326 37,72786211365 165,20932006836 0,972874 10,2598 -1,46333
-654,45910644531 112511 1,62378 <_____> 1515,03 <Интегр-Навиг> 45,8674 0,0772433 -0,0660118 3,14069 -3,46333 0 55,75887256201 37,72785663853 165,22924804688 0,35632 11,1562 0,974259
-654,00805664063 112871 1,624 <_____> 1515,03 <Интегр-Навиг> 45,9037 0,0262006 -0,0781898 3,09105 -3,42056 0 55,75887609058 37,72785166164 165,40498352051 -0,195914 10,4544 -0,0562563
-653,55700683594 113228 1,624 <_____> 1515,03 <Интегр-Навиг> 45,9768 0,0152656 -0,0829556 3,23763 -3,56583 0 55,75887888804 37,72784617750 165,42840576172 -0,134821 10,2203 -1,052
