Путь Курс Крен Тангаж
27.3 151.59000962861666 -0.11326573865134362 -0.33860626620266654
27.5 151.58648687469102 -0.11745840485357206 -0.3222851628528947
27.7 151.61404621231182 -0.043985136243931855 -0.32409582958454486
27.9 151.60795501242933 -0.08908471623526337 -0.3083308799749447
28.1 151.57804031194547 -0.08455366526749658 -0.28280111242047745
28.3 151.5959836569283 -0.08220784468425267 -0.27148382316550546
28.5 151.59242540411492 -0.08378923493178411 -0.27819799787473076
28.7 151.56428821187822 -0.08873980881039811 -0.2791445870069371
28.9 151.59025261157745 -0.07780194666808882 -0.2952276283023076
29.1 151.5963940293923 -0.06769142370591319 -0.30170553383183574
29.3 151.58080972407333 -0.05848765342486506 -0.2976563389683732
29.5 151.55535312128674 -0.054437984979114895 -0.2950346898797307
29.7 151.61075877669822 -0.03658780831243069 -0.32262220128590835
29.9 151.59645818001752 -0.046648510875761606 -0.31478551188797443
30.1 151.57391117755176 -0.04348429709735213 -0.32444730274852007
30.3 151.61626316775357 -0.032660955329971486 -0.3736188360657495
30.5 151.60548110658718 -0.045141716566151624 -0.3888770744564556
30.7 151.57665411188518 -0.06286083023645217 -0.39790289932627076
30.9 151.55021427902346 -0.07561955196605186 -0.4138604562928161
31.1 151.52225345628645 -0.07568229250765413 -0.43312195024494593
31.3 151.51383236374951 -0.10574947443353488 -0.4451859465096246
31.5 151.55212606714176 -0.09854663356032933 -0.4625294275601274
31.7 151.5614574361729 -0.11956505798661876 -0.471427187514303
31.9 151.5326961492739 -0.16589775592744427 -0.37946387723319397
32.1 151.57797421202474 -0.15091076971625839 -0.4578072970426139
32.3 151.5847834840232 -0.18433876259862103 -0.44806501218257244
32.5 151.563212852563 -0.19425759884455474 -0.4563419874118608
32.7 151.5715634415174 -0.2145654454993835 -0.48793666038006656
32.9 151.61231586758223 -0.2461236027473621 -0.5447821831939876
33.1 151.62307223082803 -0.2797846445189469 -0.5839656739161923
33.3 151.619647606353 -0.28224130901262967 -0.622767030650861
33.5 151.62914455270908 -0.2976972860615015 -0.6444353600307404
33.7 151.61972582399682 -0.3412428717699081 -0.6732639797342701
33.9 151.60827683440817 -0.34877972740193597 -0.6848886763303095
34.1 151.58688025647677 -0.36266849636573184 -0.6850059793091636
34.3 151.5827286264913 -0.39283916981322164 -0.7184952658183796
34.5 151.5700314469944 -0.39671789139433034 -0.7347031330282019
34.7 151.5660732898661 -0.4076926466842117 -0.7529250260438483
34.9 151.57965904686444 -0.4129377601022801 -0.8054578934839443
35.1 151.59271046432195 -0.41038757656438374 -0.8307905427115387
35.3 151.58496679934618 -0.4190641416027594 -0.8489450453935241
35.5 151.60360150931078 -0.4052167788084934 -0.864503162547702
35.7 151.59751628543597 -0.40124550309433826 -0.8881458118978782
35.9 151.56078179460292 -0.39934273252408614 -0.8917887962752546
36.1 151.60031428983277 -0.3802795780123456 -0.907681778228647
36.3 151.63254773963442 -0.3775334395445169 -0.9351656443142864
36.5 151.65697161485764 -0.392245605057596 -0.9750511148382079
36.7 151.62885656496567 -0.33298657042386104 -0.9712599114582545
36.9 151.6554563992638 -0.3345108599150417 -0.9524169639242843
37.1 151.62849069197932 -0.3240586581678948 -0.9687189079608649
37.3 151.5930851086046 -0.2967250745395056 -0.9210435544103861
37.5 151.61730746370932 -0.28522899025579385 -0.8885606859795594
37.7 151.5831551032886 -0.2566220608860137 -0.8737555126845109
37.9 151.54221960304125 -0.24047846197943912 -0.8312626621817065
38.1 151.55043958791174 -0.2354838128170922 -0.8364342470880555
38.3 151.5213490220118 -0.18861394080914007 -0.800824692806505
38.5 151.45200410647965 -0.14415361463918086 -0.7699858042220038
38.7 151.44365362919686 -0.15822789286053407 -0.8550644105486356
