Номер Координата    X   Y   H
2148,000 1626,596552 985,047962 998,866208
2149,000 1628,15487 984,66403 998,865552
2150,000 1629,710881 984,280679 998,864691
2151,000 1631,254658 983,900404 998,862741
2152,000 1632,798434 983,520128 998,860791
2153,000 1634,34221 983,139853 998,858841
2154,000 1635,885986 982,759578 998,856892
2155,000 1637,429762 982,379302 998,854942
2156,000 1638,973538 981,999027 998,852992
2157,000 1640,517314 981,618752 998,851042
2158,000 1642,06109 981,238477 998,849093
2159,000 1643,604867 980,858201 998,847143
2160,000 1645,148643 980,477926 998,845193
2161,000 1646,692419 980,097651 998,843243
2162,000 1648,236195 979,717375 998,841294
2163,000 1649,779971 979,3371 998,839344
2164,000 1651,318423 978,957838 998,838802
2165,000 1652,845068 978,580824 998,841384
2166,000 1654,371713 978,20381 998,843966
2167,000 1655,898358 977,826796 998,846548
2168,000 1657,425003 977,449782 998,849129
2169,000 1658,951648 977,072768 998,851711
2170,000 1660,478292 976,695754 998,854293
2171,000 1662,004937 976,31874 998,856875
2172,000 1663,531582 975,941726 998,859457
2173,000 1665,058227 975,564712 998,862038
2174,000 1666,584872 975,187698 998,86462
2175,000 1668,111517 974,810684 998,867202
2176,000 1669,638161 974,43367 998,869784
2177,000 1671,164806 974,056656 998,872365
2178,000 1672,680651 973,682275 998,875796
2179,000 1674,192976 973,308751 998,879502
2180,000 1675,705301 972,935227 998,883209
2181,000 1677,217626 972,561703 998,886915
2182,000 1678,729951 972,18818 998,890622
2183,000 1680,242276 971,814656 998,894328
2184,000 1681,754601 971,441132 998,898035
2185,000 1683,266927 971,067608 998,901741
2186,000 1684,779252 970,694084 998,905448
2187,000 1686,291577 970,32056 998,909154
2188,000 1687,803902 969,947037 998,912861
2189,000 1689,316227 969,573513 998,916567
2190,000 1690,828552 969,199989 998,920273
2191,000 1692,332388 968,829207 998,925524
2192,000 1693,828822 968,460817 998,93212
2193,000 1695,325256 968,092427 998,938716
2194,000 1696,82169 967,724036 998,945313
2195,000 1698,318124 967,355646 998,951909
2196,000 1699,814558 966,987255 998,958505
2197,000 1701,310992 966,618865 998,965102
2198,000 1702,807426 966,250474 998,971698
2199,000 1704,30386 965,882084 998,978294
2200,000 1705,800294 965,513693 998,984891
2201,000 1707,296728 965,145303 998,991487
2202,000 1708,793161 964,776912 998,998083
2203,000 1710,289595 964,408522 999,00468
2204,000 1711,786029 964,040131 999,011276
2205,000 1713,274352 963,672105 999,020049
2206,000 1714,756968 963,304334 999,030354
2207,000 1716,239584 962,936563 999,040659
2208,000 1717,7222 962,568793 999,050964
2209,000 1719,204816 962,201022 999,061269
2210,000 1720,687433 961,833251 999,071574
2211,000 1722,170049 961,46548 999,081879
2212,000 1723,652665 961,09771 999,092184
2213,000 1725,135281 960,729939 999,102489
2214,000 1726,617897 960,362168 999,112794
2215,000 1728,100513 959,994398 999,123099
2216,000 1729,58313 959,626627 999,133404
2217,000 1731,065746 959,258856 999,143709
2218,000 1732,548362 958,891086 999,154014
2219,000 1734,030978 958,523315 999,164319
2220,000 1735,505593 958,158141 999,16623
2221,000 1736,979642 957,793151 999,167547
2222,000 1738,45369 957,428161 999,168865
2223,000 1739,927739 957,063171 999,170182
2224,000 1741,401787 956,698181 999,171499
2225,000 1742,875836 956,333191 999,172816
2226,000 1744,349884 955,968201 999,174134
2227,000 1745,823933 955,603211 999,175451
2228,000 1747,297981 955,238222 999,176768
2229,000 1748,77203 954,873232 999,178085
2230,000 1750,246078 954,508242 999,179403
2231,000 1751,720127 954,143252 999,18072
2232,000 1753,194175 953,778262 999,182037
2233,000 1754,668224 953,413272 999,183354
2234,000 1756,142272 953,048282 999,184672
2235,000 1757,616321 952,683292 999,185989
2236,000 1759,090369 952,318302 999,187306
2237,000 1760,557111 951,957145 999,18827
2238,000 1762,015715 951,600255 999,188839
2239,000 1763,47432 951,243365 999,189409
2240,000 1764,932924 950,886476 999,189978
2241,000 1766,391529 950,529586 999,190548
2242,000 1767,850133 950,172697 999,191118
2243,000 1769,308737 949,815807 999,191687
2244,000 1770,767342 949,458918 999,192257
2245,000 1772,225946 949,102028 999,192827
2246,000 1773,684551 948,745139 999,193396
2247,000 1775,143155 948,388249 999,193966
2248,000 1776,60176 948,031359 999,194536
2249,000 1778,060364 947,67447 999,195105
2250,000 1779,518969 947,31758 999,195675
2251,000 1780,980325 946,947523 999,195971
2252,000 1782,445335 946,55998 999,195902
2253,000 1783,910345 946,172438 999,195833
2254,000 1785,375355 945,784895 999,195765
2255,000 1786,840366 945,397352 999,195696
2256,000 1788,305376 945,00981 999,195628
2257,000 1789,770386 944,622267 999,195559
2258,000 1791,235396 944,234724 999,195491
2259,000 1792,700406 943,847182 999,195422
2260,000 1794,165416 943,459639 999,195353
2261,000 1795,630426 943,072096 999,195285
2262,000 1797,095436 942,684553 999,195216
2263,000 1798,560447 942,297011 999,195148
2264,000 1800,025457 941,909468 999,195079
2265,000 1801,490467 941,521925 999,195011
