Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
17,59180831909 131036 0,811931 <_____> 1520,49 <Интегр-Навиг> 61,9386 0,363519 -0,434735 -2,08756 1,19528 0 55,76369447837 37,72265725245 168,64106750488 -0,0978874 9,83087 0,0403458
17,81734466553 131326 0,811931 <_____> 1520,69 <Интегр-Навиг> 61,9502 0,375815 -0,39525 -2,17223 1,24875 0 55,76369291001 37,72265884382 168,63282775879 -0,0848675 9,82903 -0,0959425
18,04288101196 131611 0,811931 <_____> 1521,9 <Интегр-Навиг> 61,9514 0,364725 -0,357632 -2,15027 1,22896 0 55,76369141276 37,72266001543 168,62150573730 -0,0863133 9,68466 -0,183493
18,26841545105 131902 1,62386 <_____> 1522,51 <Интегр-Навиг> 61,9628 0,389048 -0,31975 -2,11733 1,21236 0 55,76368988463 37,72266156654 168,61376953125 0,0391649 9,88352 -0,105528
18,49395179749 132196 0,811924 <_____> 1522,71 <Интегр-Навиг> 61,9517 0,410963 -0,279577 -2,09303 1,19821 0 55,76368834022 37,72266313385 168,60557556152 -0,26743 9,81208 -0,180098
18,71948814392 132491 0,811931 <_____> 1522,71 <Интегр-Навиг> 61,9479 0,411395 -0,227132 -2,12377 1,215 0 55,76368676677 37,72266473277 168,59704589844 -0,137196 9,78227 0,147839
18,94502449036 132782 0,811931 <_____> 1522,71 <Интегр-Навиг> 61,9653 0,402176 -0,192144 -2,1296 1,22709 0 55,76368533959 37,72266571696 168,58923339844 0,0183329 9,711 -0,0597113
19,17056083679 133068 1,62386 <_____> 1522,51 <Интегр-Навиг> 61,9748 0,408945 -0,164929 -2,19172 1,25074 0 55,76368379734 37,72266728164 168,58122253418 -0,110841 9,90817 -0,213637
19,39609718323 133353 0,811931 <_____> 1522,11 <Интегр-Навиг> 61,99 0,405487 -0,127435 -2,19057 1,24017 0 55,76368223422 37,72266886503 168,57286071777 0,0827001 9,84823 -0,0130092
19,62163162231 133636 0,811931 <_____> 1522,11 <Интегр-Навиг> 61,9935 0,417903 -0,0860412 -2,20049 1,25541 0 55,76368078405 37,72266997071 168,57954406738 -0,061447 9,6983 -0,0429633
19,84716796875 133917 1,62385 <_____> 1522,11 <Интегр-Навиг> 62,0119 0,417803 -0,051171 -2,21535 1,27167 0 55,76367923563 37,72267153948 168,57182312012 -0,0602088 9,61191 0,0617015
20,07270431519 134196 0,811931 <_____> 1522,11 <Интегр-Навиг> 62,0301 0,46629 -0,0348413 -2,21887 1,27292 0 55,76367768852 37,72267310578 168,56381225586 0,0508442 9,82228 0,00361633
20,29824066162 134473 0,811931 <_____> 1522,31 <Интегр-Навиг> 62,0374 0,477276 -0,0208779 -2,24374 1,27788 0 55,76367612655 37,72267468710 168,56315612793 -0,0239222 9,71661 -0,20363
20,52377700806 134752 1,62386 <_____> 1522,71 <Интегр-Навиг> 62,0544 0,382206 3,1516e-5 -2,18236 1,24656 0 55,76367469355 37,72267567524 168,55545043945 0,0634121 9,68107 -0,359972
20,74931144714 135048 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,0659 0,300403 0,000204183 -1,96607 1,13111 0 55,76367316735 37,72267722923 168,54704284668 -0,22388 9,91666 -0,253862
20,97484779358 135377 0,811924 <_____> 1522,91 <Интегр-Навиг> 62,0689 0,397202 0,00426848 -1,83701 1,0585 0 55,76367163093 37,72267880689 168,53744506836 -0,180946 9,83191 0,143593
21,20038414001 135738 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,0745 0,379068 0,0110678 -1,57522 0,933225 0 55,76367017237 37,72267993395 168,54638671875 0,0495308 9,82858 -0,135875
21,42592048645 136157 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,0721 0,369221 -0,00586834 -1,35387 0,813618 0 55,76366867112 37,72268151991 168,53472900391 -0,0766984 9,84457 -0,0718571
21,65145683289 136613 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,0665 0,345665 -0,0157321 -1,29261 0,78288 0 55,76366680790 37,72268311934 168,53323364258 -0,0046487 9,84158 -0,29791
21,87699317932 137143 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,0408 0,370753 -0,033175 -0,973109 0,617573 0 55,76366530321 37,72268476264 168,51879882813 0,0913155 9,97686 -0,211751
22,10252761841 137850 0 <_____> 1522,31 <Интегр-Навиг> 62,0364 0,463528 -0,0560572 -0,750485 0,494636 0 55,76366312356 37,72268664636 168,50053405762 -0,214613 9,75587 0,175216
22,32806396484 138725 0 <_____> 1522,11 <Интегр-Навиг> 62,0232 0,421534 -0,0836838 -0,477479 0,354116 0 55,76366112070 37,72268839658 168,47851562500 -0,0369933 9,85522 -0,146967
22,55360031128 139871 0 <_____> 1522,11 <Интегр-Навиг> 62,0146 0,455783 -0,124068 -0,656261 0,447848 0 55,76365949820 37,72268994752 168,46328735352 -0,0625299 9,85652 -0,152788
22,77913665771 140677 0 <_____> 1521,7 <Интегр-Навиг> 62,014 0,447973 -0,165837 -0,810717 0,531282 0 55,76365732806 37,72269181754 168,45031738281 -0,0382022 9,92644 0,206825
23,00467300415 141373 0 Piket 1521,7 <Интегр-Навиг> 61,9846 0,445037 -0,207687 -0,863481 0,556554 0 55,76365583538 37,72269354244 168,43130493164 -0,235398 9,75185 -0,240858
23,23020744324 141982 0,811931 <_____> 1521,5 <Интегр-Навиг> 62,0004 0,459179 -0,250141 -1,11009 0,694806 0 55,76365429677 37,72269474666 168,42469787598 0,0973241 9,96796 -0,0426427
23,45574378967 142498 0 <_____> 1521,5 <Интегр-Навиг> 62,0015 0,417075 -0,278559 -1,1902 0,7306 0 55,76365277893 37,72269641090 168,41123962402 0,00370713 9,75175 -0,205921
23,68128013611 143073 0,811931 <_____> 1521,5 <Интегр-Навиг> 61,9965 0,443984 -0,3236 -0,909104 0,584872 0 55,76365165729 37,72269722571 168,39602661133 -0,123037 9,80858 -0,20331
23,90681648254 143797 0 <_____> 1521,5 <Интегр-Навиг> 61,9916 0,465491 -0,363817 -0,783258 0,52114 0 55,76365031048 37,72269832503 168,34558105469 -0,113983 9,75339 -0,143478
24,13235282898 144430 0,811931 <_____> 1521,7 <Интегр-Навиг> 62,0178 0,637118 -0,41484 -1,37776 0,824958 0 55,76364884860 37,72269999412 168,32736206055 -0,129849 9,01992 0,364913
24,35788917542 144792 0,811931 <_____> 1521,1 <Интегр-Навиг> 62 0,624454 -0,455706 -1,95498 1,13232 0 55,76364708771 37,72270131079 168,27607727051 -0,0887813 9,66552 0,300528
24,58342361450 145077 0,811931 <_____> 1521,1 <Интегр-Навиг> 61,9874 0,625098 -0,493906 -2,3595 1,34679 0 55,76364554681 37,72270288763 168,26683044434 -0,0814204 9,78436 0,350511
24,80895996094 145320 0,811924 <_____> 1520,89 <Интегр-Навиг> 61,9873 0,506184 -0,517822 -2,69429 1,53575 0 55,76364402670 37,72270442588 168,25897216797 -0,0272952 9,61676 0,267953
25,03449630737 145545 0,811924 <_____> 1520,89 <Интегр-Навиг> 62,0009 0,406287 -0,559373 -2,78985 1,58426 0 55,76364246648 37,72270599899 168,21755981445 0,0534309 10,0179 0,0754925
25,26003265381 145766 1,62386 <_____> 1520,89 <Интегр-Навиг> 61,9879 0,416853 -0,593086 -2,84758 1,61172 0 55,76364042313 37,72270749047 168,21029663086 -0,0921192 9,88592 -0,146819
25,48556900024 145983 1,62386 <_____> 1520,89 <Интегр-Навиг> 61,9724 0,401611 -0,608631 -2,88699 1,6284 0 55,76363889451 37,72270902585 168,20310974121 -0,210379 9,87146 -0,0043693
