acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
23 0 959 0 -7 -21
23 -23 983 1 -3 -15
23 -23 983 16 0 -16
23 -47 1031 12 2 -5
-23 -23 935 12 2 -5
47 -23 983 -7 9 -4
23 0 983 -11 6 -19
0 0 959 3 -3 -26
23 23 1007 10 5 -20
23 -23 959 10 5 -20
71 0 983 7 -6 -4
47 0 983 -10 -12 -3
23 -23 959 2 4 -3
23 0 959 5 -11 -6
23 -23 983 5 -11 -6
23 -47 959 9 -10 -34
23 23 983 3 1 -29
0 -23 935 -4 1 -48
0 -23 983 19 8 -23
0 0 1007 19 8 -23
-23 -23 1031 2 1 0
0 -23 935 -17 3 -15
0 -23 983 18 2 -32
0 0 983 17 -10 -43
0 -23 1031 17 -10 -43
47 -47 1031 7 -16 -27
47 0 959 6 -7 -23
23 0 983 -12 9 -34
23 0 983 -15 -12 -10
0 -47 935 -15 -12 -10
71 0 1007 -5 -9 0
47 0 959 7 -5 -17
23 23 959 0 -1 -16
23 23 1007 8 18 -5
47 47 959 8 18 -5
0 -23 983 10 15 -25
0 0 959 8 11 -26
0 -47 983 17 -1 -43
71 -23 983 11 0 -36
23 -23 983 11 0 -36
23 0 959 -13 9 -15
0 0 935 -3 -1 -28
0 0 1007 4 -4 -27
0 0 959 10 1 -23
23 -23 983 10 1 -23
23 0 1007 22 5 -17
47 0 959 13 6 -6
0 -23 1007 13 -16 -16
47 23 1007 -1 1 -9
23 23 983 -1 1 -9
-23 0 983 -15 1 9
47 23 1007 5 3 10
47 0 983 1 -4 0
23 0 983 4 6 -14
23 -23 983 4 6 -14
47 0 983 14 17 -29
23 47 1007 8 17 -10
23 0 959 -8 13 -4
23 0 983 -12 1 -20
0 -23 1007 -12 1 -20
0 0 935 -5 -3 -2
0 0 983 0 10 -3
-23 -23 959 9 -11 0
23 -23 959 5 -3 -10
71 0 983 5 -3 -10
0 0 959 -7 6 -19
47 0 959 -4 -8 -28
23 0 983 21 -11 -28
0 0 983 10 0 -21
47 0 983 10 0 -21
23 -47 1007 19 0 -14
0 -23 935 -4 -8 3
23 0 1007 -7 1 -33
23 -23 959 2 1 -19
