acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
16160 1855 29984 16249 8255 8992
8224 16160 3587 2592 29984 8313
12064 7968 2564 4128 28448 8313
8224 16160 8222 8197 16191 8224
8224 16160 29984 30073 8313 8224
16249 29955 28537 31097 8313 8224
8224 16160 8224 16191 8224 8224
5920 42784 1539 6944 16160 8224
16160 1283 2080 16160 8255 17952
5920 16160 1056 29984 8313 8224
8224 16160 1824 16160 8255 30496
5920 16160 2307 2336 16160 8224
16160 1539 1568 16160 8224 8224
8224 16160 2425 16160 8224 8224
16160 1539 16160 8255 8224 6432
5920 1824 3588 28448 30073 8313
8224 16160 4611 5152 31008 8313
5920 16160 8203 8197 8255 8224
16160 30015 2169 16160 8224 16160
16249 259 2336 2848 8224 8224
16160 515 31008 28537 8313 8224
8224 1824 2308 1056 16160 8224
16160 2111 8224 16160 8224 16160
8224 16160 1027 1568 3104 8224
8224 16160 29984 30073 8313 8224
8224 16160 3587 2592 2592 8224
16160 16249 8313 16160 8224 16160
8313 16160 29984 31097 8313 8224
8224 16160 31039 8206 8255 8224
16160 29955 1145 16160 8224 6432
8224 16160 29984 2681 8224 8224
8224 16160 31087 8195 8194 8224
16160 29955 2169 31008 8313 8224
8313 16160 31093 8194 8255 8224
8224 16160 3961 31008 8313 8224
8224 16160 2563 5408 31008 8313
16160 1539 16160 31097 8313 8224
16160 16131 28537 1145 8224 8224
8224 16160 8195 31093 8210 8224
8224 16160 29955 30073 1145 8224
5920 16160 31097 31093 31087 8224
8224 16160 8193 8193 8213 8224
8224 16160 8197 31039 8215 8224
8224 16160 31039 31097 8255 8224
8313 16160 31097 31087 8255 8224
8224 1824 2052 28448 3961 8224
8224 16160 889 16160 8255 21280
16160 831 8255 31087 8224 8224
16160 28419 28537 8313 8224 8224
16160 16131 8255 8224 8224 10272
8224 16160 31093 8197 8255 8224
16249 2563 1568 2592 8224 8224
16160 2564 288 2080 8224 8224
8224 16160 2819 1056 16160 8255
16160 2564 544 16160 8224 16928
8224 16160 2169 4640 8224 8224
16160 515 2592 1824 8224 8224
8224 16160 28419 1657 29984 8313
8224 16160 8313 16160 8313 8224
8224 16160 3587 16160 8313 8224
8224 16160 28537 8313 8224 8224
8224 16160 28537 16249 8224 24608
8224 16160 2336 16160 8224 17952
8224 1824 16132 30015 8313 8224
5920 16160 16131 16249 28537 8313
12064 16160 28419 31097 1913 8224
8224 16160 2169 16160 8313 8224
8224 16160 29984 16249 8224 15904
16160 831 8199 31039 8202 8224
16160 515 16160 8313 8224 16160
16249 16131 16191 8224 8224 32319
8224 16160 16249 16249 8255 12832
8224 16160 8211 8193 31093 8224
8224 16160 4217 16160 8224 15392
8313 16160 1401 16160 8224 4384
16160 28419 633 16160 8224 2080
8224 16160 1283 1568 29984 8313
8224 16160 8224 8198 31093 8224
8224 1824 29956 30073 16249 8224
16160 8255 1312 16160 8224 6432
16160 29955 28537 633 8224 8224
8224 16160 800 800 8224 8224
8313 16160 8207 8197 8255 8224
8224 16160 1913 2336 8224 8224
16160 8255 31093 31039 8224 8224
8313 16160 2336 16160 8224 10528
16160 2563 2336 28448 8313 8224
8224 42784 1795 800 16160 8255
8224 16160 31087 8202 31087 8224
8224 16160 8196 8218 8196 8224
16160 29955 377 29984 8313 8224
8224 16160 31087 8198 8193 8224
16160 8195 16160 8255 8224 16160
8224 16160 5635 16160 8313 8224
8224 16160 2425 1568 8224 8224
16160 2563 6176 16160 8255 10784
5920 16160 1027 4128 16160 8224
16160 28419 1145 288 8224 8224
16160 8195 16160 8255 8224 2592
8224 16160 8203 8224 8255 8224
16160 30015 2681 16160 8224 16160
16160 831 16191 31087 8224 8224
16160 16249 31097 31093 31039 8224
5920 16160 8199 31087 31039 8224
5920 16160 1283 16160 8255 8224
8224 1824 16132 28537 16249 8313
5920 1824 16132 29984 8313 8224
8224 16160 31039 8200 16191 8224
8224 7968 4100 2592 16160 8255
16160 4867 288 28448 8313 8224
16160 1055 8195 31039 16191 8224
8224 16160 8201 31087 31087 8224
8224 1824 16132 28448 8313 8224
16160 3843 16160 8255 8224 2336
16160 2307 29984 16249 8255 28448
16160 1855 29984 16249 8224 29984
8224 16160 1145 16160 8224 8992
8224 16160 8194 8204 8193 8224
8224 16160 8193 8203 8210 8224
16160 2307 1056 29984 8313 8224
8224 16160 8202 8201 8224 8224
8224 16160 6915 28448 31097 8313
16160 30979 31097 16249 8224 800
8313 42784 3075 29984 16249 8255
16160 3588 8224 28448 8313 8224
16160 8196 29984 16249 8255 19488
16160 5123 1568 31008 8313 8224
16249 16191 2937 16160 8255 16160
8224 16160 16191 8207 8224 8224
16160 8255 8199 8194 8224 8224
8313 16160 29955 8313 31008 8313
16160 1027 4128 16160 8255 13344
8313 16160 8195 3104 16160 8255
8224 16160 2592 16160 8224 8224
8224 16160 28537 377 8224 8224
16160 29955 377 800 8224 8224
8224 16160 2563 16160 8255 8224
16160 16249 8195 29984 16249 8255
8224 16160 31008 30073 8313 8224
8224 16160 29984 16249 8255 15136
8224 16160 1657 28448 8313 8224
8224 16160 3587 29984 30073 8313
16160 2307 2592 29984 8313 8224
8224 16160 259 288 16160 8224
8224 16160 1539 1312 16160 8313
8224 16160 31093 8209 16191 8224
8224 1824 772 16160 8255 8224
5920 16160 16160 8255 8224 17696
5920 16160 8313 28448 8313 8224
8224 16160 8193 31093 16191 8224
8224 16160 29984 1657 8224 8224
8224 16160 8197 8203 31097 8224
16160 3587 31008 28537 8313 8224
8224 16160 2307 31008 16249 8224
8224 16160 8255 8224 8224 8224
8224 1824 16132 16191 8255 25376
16160 1031 8198 8202 31097 8224
8224 16160 8197 8224 8224 8224
16160 16131 30015 8313 8224 4384
16160 831 16191 31039 8224 8224
8224 16160 31093 8224 31097 8224
8224 16160 1795 4128 16160 8224
8224 16160 31039 8224 31039 8224
16160 16131 4473 8224 8224 3104
8224 16160 8255 8255 8224 32295
8224 16160 8224 8198 31097 8224
16160 16131 831 8224 8224 2592
16160 5635 1056 3872 8224 8224
8224 16160 3104 16160 8224 19232
16160 16131 2336 8224 8224 4128
8224 16160 16191 8255 8224 32284
16160 5183 29984 28537 8313 8224
8224 16160 8196 31093 16191 8224
8224 16160 8195 31093 8204 8224
16160 16249 889 16160 8224 16160
8224 16160 30979 8313 16160 8255
8224 16160 2819 28448 31097 8313
8313 16160 16249 16249 8224 3616
8224 16160 8224 8224 31093 8224
16160 3075 288 31008 8313 8224
16160 1284 288 28448 8313 8224
8224 16160 1056 28448 8313 8224
16249 1031 8201 8224 16191 8224
16160 29956 28537 8313 8224 8224
5920 16160 8195 29984 31097 8313
16160 28419 28537 16249 8313 8224
16160 831 31039 8193 8224 8224
16160 30979 377 16160 8255 2080
8224 16160 29955 889 29984 8313
8224 16160 6176 16160 8224 20768
8224 7968 2052 8224 16160 8313
8224 42784 2307 16160 16249 8255
16160 16131 1599 8224 8224 17184
16160 29955 28537 28537 8313 8224
16249 935 31039 31093 8224 8224
8224 16160 8204 8224 8194 8224
16160 4099 544 2592 8224 8224
8224 16160 3872 4640 8224 8224
8224 16160 8195 8212 8195 8224
8224 16160 259 31008 16249 8255
8224 16160 1401 16160 8224 11296
8224 16160 1283 288 16160 8224
16160 30979 28537 16249 8224 29984
16160 16131 2425 8224 8224 29984
16160 1599 31008 30073 8313 8224
16249 8255 31087 31093 8224 8224
8224 16160 8206 8200 31087 8224
8224 16160 1657 8224 8224 8224
16249 1031 8202 8208 8204 8224
16249 935 8197 31093 16191 8224
8224 16160 30979 31097 1145 8224
16160 8196 3104 16160 8224 14880
16160 3075 8224 16160 8224 1824
5920 16160 8197 8204 8194 8224
8224 16160 31087 8195 8201 8224
